name,breed,mixed,sex,neut,age,SRA,how_long,how_often,where_num,other pet,o_age,origin_num,kept_num,how_long_r,how_often_r,relationship,feelings_home,feelings_known,feelings_strange,deal_home,deal_known,deal_strange,safe_strange,safe_known,safe_home,greet_short,greet_long,whine,bark,howl,drool,pee,poo,destruct,tremble,aroused,owner_feeling,home_behav,elimin_greet,Clusters
Athos,Dogue de Bordeaux,0,1,0,66,0,3,3,3,0,32,2,3,3,3,6,5,5,5,5,3,4,0,0,1,4,5,3,0,0,3,0,0,0,0,3,2.319281633,0.041998566,1.356445818,1
Pimpa,Mixed,1,2,1,51,0,3,3,1,1,41,3,3,3,3,5,1,2,5,1,3,5,0,0,0,4,4,0,1,0,0,0,0,0,0,0,0.963011829,-1.051328916,0.011448193,1
BORISZ2,Samoyed,0,1,1,21,1,3,3,3,2,45,2,2,3,3,7,2,2,5,1,1,3,2,2,2,1,2,1,3,0,0,0,0,0,0,3,-1.273949725,-0.276698021,1.877508367,2
Lali,Whippet,0,1,1,31,1,1,3,1,0,36,2,3,1,3,5,2,4,5,3,4,5,0,0,1,5,5,0,0,0,0,0,0,0,0,1,1.77720648,-0.866075279,-0.575844107,1
Plüss,Havanese,0,1,0,108,1,3,3,1,1,27,2,3,3,3,7,5,5,5,3,4,5,1,1,3,5,5,2,1,1,0,0,0,0,1,1,1.217938188,0.405321005,-0.664254854,1
Trükk,Havanese,0,1,0,67,1,3,3,1,1,27,5,3,3,3,7,5,5,5,3,3,5,1,1,1,5,5,2,1,1,0,0,0,1,0,1,1.083183805,0.770703385,-0.973052294,1
Bori,Mixed,1,2,1,19,1,2,3,1,1,24,5,1,2,3,6,5,4,5,3,3,4,1,1,2,5,5,1,1,1,0,0,0,0,1,2,0.849439506,0.481075904,-0.612582864,1
Kacat,Vizsla,0,2,0,45,0,0,0,1,0,68,5,2,1,1,7,5,5,5,3,5,5,0,0,1,5,5,0,0,0,0,0,0,0,0,0,2.36390366,-0.847103116,-0.873161369,1
Steak,Mixed,1,1,1,37,1,3,3,3,0,24,4,3,3,3,5,2,2,3,2,4,5,1,1,1,4,4,3,3,0,0,0,0,1,.,0,-0.195236481,0.995832365,-0.533072917,3
Trifó,Mixed,1,1,1,79,1,2,4,1,1,28,3,3,2,4,7,1,1,3,3,4,5,0,1,1,5,5,0,0,0,0,0,0,0,1,2,0.559109368,-0.172334959,-0.527301556,1
Connor,French Bulldog,0,1,1,14,1,2,3,1,0,23,2,3,2,3,6,2,3,4,2,3,4,0,1,1,3,4,3,0,1,0,0,0,0,0,0,0.380782923,-0.226315871,0.027567156,1
Zazie,Mixed,1,2,0,152,0,1,1,3,0,25,4,2,1,1,7,1,1,2,3,3,4,2,2,3,1,1,1,1,1,1,0,0,0,0,0,-1.442987391,-0.552855585,2.385205625,2
Som,Tibetan Terrier,0,1,0,127,1,0,3,3,0,40,2,3,1,3,6,2,2,3,5,4,5,1,1,1,1,4,.,2,2,0,1,1,2,0,.,-0.162150976,1.273023851,2.205468536,3
Zsebi,Puli,0,2,0,19,1,2,3,1,0,30,2,3,2,3,7,4,4,5,4,4,5,1,1,1,5,5,2,2,1,0,1,0,1,1,0,0.899724287,1.420062058,-0.381398921,1
Luca,Mixed,1,2,1,17,0,3,3,1,0,27,5,3,3,3,7,1,1,3,1,2,5,1,1,2,5,5,3,3,0,0,0,0,0,0,2,-0.675743101,0.833587796,-0.732627631,4
Bentley,Mixed,1,1,1,54,0,1,1,1,0,32,2,3,1,1,7,1,3,4,1,3,4,2,2,3,2,4,1,0,0,0,0,0,0,0,0,-0.566715263,-1.12200942,0.493552059,2
Mira,Mixed,1,2,1,32,1,2,3,1,1,24,1,2,2,3,5,1,1,2,1,2,5,0,1,3,2,2,0,0,0,0,0,0,0,0,0,-0.45864261,-1.709092125,1.340798394,2
Mogyoró2,Chihuahua,0,1,1,32,1,2,3,3,1,24,4,3,2,3,5,1,2,2,2,3,3,1,1,3,5,5,0,0,0,0,0,0,0,0,0,-0.473212545,-0.717933292,-0.959459588,4
Mása2,Boxer,0,2,1,28,0,2,3,3,1,24,2,3,2,3,6,1,1,1,1,1,2,1,3,3,3,5,0,0,0,0,0,0,0,0,0,-1.935466561,-0.758382159,-0.526406049,4
Shaggy,Nova Scotia Duck-Tolling Retriever,0,1,0,95,0,3,1,3,0,27,2,1,3,1,7,1,1,3,1,1,3,1,3,3,2,4,0,0,0,0,0,0,0,0,1,-1.475475741,-1.080576382,0.52606009,2
Luna3,Vizsla,0,2,0,13,0,1,3,1,2,27,3,3,1,3,6,1,2,3,1,2,3,1,3,3,4,5,1,0,0,0,0,0,1,0,0,-1.19745419,-0.371143926,-0.724878321,4
Guba,Mudi,0,1,0,48,0,1,4,1,0,34,2,3,1,4,7,1,1,1,1,1,2,1,1,1,5,5,0,0,0,0,0,0,0,0,0,-1.225167431,-0.45744059,-1.182704963,4
Panka2,Shetland Sheepdog,0,2,0,16,0,2,3,1,0,25,2,3,2,3,6,1,2,4,2,3,5,1,2,3,3,5,0,0,0,0,0,0,0,0,1,-0.067287957,-0.971795302,-0.004375592,1
