name,breed,mixed,sex,neut,age,SRA,how_long,how_often,where_num,other pet,o_age,origin_num,kept_num,how_long_r,how_often_r,relationship,feelings_home,feelings_known,feelings_strange,deal_home,deal_known,deal_strange,safe_strange,safe_known,safe_home,greet_short,greet_long,whine,bark,howl,drool,pee,poo,destruct,tremble,aroused,owner_feeling,home_behav,elimin_greet,Clusters
Csipesz,Airedale terrier,0,2,1,13,1,2,3,2,2,60,5,3,2,3,6,1,2,2,1,2,2,1,2,3,4,5,1,0,1,0,0,0,0,0,0,-1.293088481,-0.379984999,-0.678228814,4
Picúr,Biewer Yorkshire Terrier,0,1,0,53,1,3,3,1,0,32,5,1,3,3,6,1,1,4,2,3,5,1,1,1,4,4,3,3,0,0,0,0,0,1,3,-0.285434552,1.040637892,0.17999359,3
Brúnó,Mixed,1,1,0,4,0,2,4,2,0,28,5,2,2,4,5,1,1,3,1,2,4,1,1,3,5,5,2,2,0,1,0,0,1,0,3,-0.675950345,0.540404329,0.009767083,4
Ori,Mixed,1,1,1,73,1,3,3,3,1,31,4,3,3,3,6,3,2,5,1,2,4,1,1,3,2,4,0,0,0,0,0,0,0,1,1,0.109647406,-1.237718016,0.717403603,2
Puszedli,Mixed,1,2,1,19,1,3,3,1,1,23,2,3,3,3,7,1,2,4,3,4,5,2,2,3,4,5,1,0,1,0,0,0,2,0,0,-0.527073528,0.458162182,-0.759944221,4
Boni,Border collie,0,2,1,27,1,3,4,2,0,23,2,1,3,4,6,3,3,5,2,4,5,0,0,1,4,4,0,0,0,0,0,0,0,0,0,1.542400371,-1.205862274,-0.066699838,1
Lulu,Toy Poodle,0,2,0,25,0,1,3,1,1,50,2,3,1,3,6,1,1,4,2,4,5,1,2,3,5,5,1,0,0,0,1,1,0,0,1,-0.079098597,-0.143898733,1.127322009,2
Barka,English Cocker Spaniel,0,1,1,36,1,1,2,3,3,36,4,3,1,2,6,3,3,4,3,4,5,0,1,3,5,5,1,1,1,0,0,0,1,0,1,0.755895812,0.250330049,-0.773454956,1
Plútó,Mixed,1,1,1,23,1,1,2,1,3,36,5,3,1,2,5,3,3,5,4,4,4,0,1,1,5,5,3,3,3,0,3,0,1,2,3,0.436419915,3.113651702,1.664633369,3
Szikra,Pumi,0,2,1,106,0,1,3,1,0,21,2,3,1,3,6,3,4,5,1,1,2,0,0,0,5,5,0,3,0,0,0,0,0,0,1,0.587222326,-0.233107647,-0.813046097,1
Zsömi,Mixed,1,1,1,22,1,2,2,3,0,28,5,3,2,2,6,4,1,3,4,3,5,2,2,2,4,5,3,3,2,1,2,2,2,1,3,-0.896334153,3.406708171,3.423935116,3
Mazsola,Mixed,1,2,1,63,0,1,2,3,0,28,2,3,1,2,6,3,3,4,2,3,5,1,1,1,5,5,1,1,0,0,0,0,0,0,0,0.570466971,-0.154975193,-0.976286135,1
Bátor,Vizsla,0,1,0,109,0,3,2,1,0,39,5,3,3,2,7,1,1,1,2,3,3,1,2,3,5,5,2,2,1,0,0,0,0,0,1,-1.482231474,0.857640196,-0.997230034,4
Kamilla,Labrador retriever,0,2,1,87,0,2,4,3,0,38,2,2,2,4,5,1,1,2,1,1,2,1,2,3,3,4,0,0,0,0,0,0,0,0,0,-1.555462223,-1.048477116,-0.032018438,4
Lizi,Mixed,1,2,1,75,0,1,1,1,0,50,3,3,1,1,7,3,3,5,3,3,5,0,1,3,3,5,1,0,0,0,0,0,0,0,0,1.004933518,-0.975975393,-0.265084277,1
Berci,Mixed,1,1,1,147,0,2,3,1,0,23,3,3,2,3,6,1,3,5,1,3,5,1,1,1,4,4,1,0,0,0,0,0,0,0,0,0.539092762,-0.995595462,0.015320223,1
Miro,Beagle,0,1,0,43,0,1,2,1,0,27,5,3,1,2,5,3,4,5,2,4,5,0,1,3,4,5,0,0,0,0,0,0,0,0,0,1.38586226,-1.319578833,-0.352743541,1
Kátya,"Fox Terrier, Wire",0,2,1,52,0,1,4,3,0,38,3,3,1,4,5,1,3,3,1,3,3,1,3,3,1,4,1,0,0,0,0,0,0,0,0,-0.896018049,-1.221931867,0.701743898,2
Arctic,Siberian Husky,0,1,0,42,0,1,3,2,1,24,2,1,1,3,5,2,2,5,2,2,4,1,1,2,2,5,1,0,1,0,0,0,0,0,2,0.030366872,-0.466084133,0.305483227,1
Berta,Vizsla,0,2,0,29,0,3,3,1,0,60,2,3,3,3,7,1,1,1,1,1,1,1,1,3,4,5,1,1,0,0,0,0,0,0,0,-1.705825449,-0.327434787,-0.942692622,4
Mignon,Mixed,1,2,1,29,1,2,3,1,1,33,4,3,2,3,6,3,4,5,3,4,5,0,1,1,5,5,3,2,0,0,0,1,0,1,2,1.315240824,0.808113364,0.455366283,1
Csipesz,Jack Russell Terrier,0,2,1,13,1,2,3,2,2,60,5,3,2,3,6,1,2,2,1,2,3,1,3,3,3,5,1,1,0,0,0,0,1,0,1,-1.4754537,-0.07626852,-0.375119354,4
Jamie,Labrador retriever,0,2,0,21,1,3,3,2,0,32,2,2,3,3,7,1,2,5,2,3,5,1,1,3,5,5,0,0,0,0,0,0,0,0,0,0.40600317,-0.997539337,-0.649509959,1
Ashley,Yorkshire Terrier,0,2,1,27,1,2,3,1,1,47,2,3,2,3,6,4,1,5,4,3,5,1,1,1,5,5,2,1,0,0,0,0,1,1,2,0.450363529,1.171759892,-0.975281824,1
Indiana,Border collie,0,1,0,63,0,1,1,3,0,32,2,3,1,1,6,1,1,3,1,2,3,1,2,3,3,4,1,1,1,0,0,0,0,0,0,-1.301307956,-0.39686794,0.091031972,4
Csikó,Whippet,0,1,1,50,1,1,2,3,1,32,2,3,1,2,7,2,4,5,1,4,5,0,0,3,5,5,1,0,0,1,0,0,1,3,3,1.655862059,-0.321087525,0.692645462,1
Salgó-Vadász Appia,Transylvanian Hound,0,2,1,48,1,2,4,2,0,45,2,2,2,4,7,1,1,2,4,4,4,1,1,2,5,5,3,2,1,0,0,0,1,0,2,-0.700498533,1.714588856,-1.066253019,3
Bendi,Tibetan Terrier,0,1,0,51,1,2,4,3,1,43,5,3,2,4,7,3,1,5,4,1,5,1,1,1,5,5,3,1,3,0,0,0,0,0,3,-0.229406869,1.802991683,-0.626327113,3
